label,count
1982,4
1985,3
1987,1
1990,1
1991,1
1992,1
1994,1
1995,1
1997,1
2002,1
2003,1
2006,1
2009,1
2010,2
2011,1
2012,1
2015,3
2017,8
88rising Music,1
ADA US,1
Anticon,1
Ato Records,1
Bar/None Records,1
BBE,2
Bear and Owl,2
BEK Audio,1
Border Community,1
BPitch Control,1
Bush,1
Capitol Records,1
Carrot Top Records,1
Castle Face,1
Church Girls,1
Cr2,1
Creme Organization,1
Cuddly Toy,1
Deeperfect,1
Desolat,1
Dirtnap Records,1
Drag City,1
Drumcode,2
Dub Store Records,1
Eglo Records,1
Ekipo,1
Eureka!,1
Fat Beats Records,1
Fire Records,1
GAMM,1
Greenway Records,1
Hive Audio,1
In The Red,1
Intec,2
IRMA Italy,1
Jamie Record Co.,1
Jullian Records,1
Knee Deep In Sound,1
La Chinerie,1
Lazy Days,1
Local Talk,1
Loop,1
MateoSound,1
Mellow Music Group,1
Merge Records,1
Mom an Pop via Future Classic,1
Monday Records,1
Monofonous Press,1
MOOD,1
Moonrise Hill Material,1
Moving Castle Records,1
Multi Culti,2
Mute,2
N/A,1
Nemuri Winter,1
Night Swim Records,1
Ninja Tune,1
No Quarter,1
Noire & Blanche,1
Northern Spy,1
Norton Records,1
Now Again Records,1
Observatory Music,1
Old 3c Records,1
OWSLA,1
Phuture Collective,1
Pushmaster Discs,1
RazorNTape,1
Relief,1
request,2
Rhino,1
Rhino Atlantic,1
Rhino Records,1
Richie Records,2
RVNG,1
Saved,1
Schmer,1
Shimmy 500,1
Skint,1
Soleilmoon Recordings,1
Soma,1
Sony Masterworks,1
Sprinkler,1
Stiff,1
Suara,1
SXN,1
Sympathy For The Record Industry,1
Technicolour,1
The Troggs,1
Toolroom,1
Toy Tonics,2
Trouble in Mind,2
Vee Jay Records,1
Watergate Records,1
Wax Nine Records,1
Wichita Recordings,1
Wicked Ape,1
Yoshitoshi,1
Z Records,1
