label,count
2017,8
1982,4
2015,3
1985,3
Mute,2
Richie Records,2
Trouble in Mind,2
2010,2
Bear and Owl,2
request,2
Intec,2
Drumcode,2
Toy Tonics,2
BBE,2
Multi Culti,2
2012,1
1987,1
1990,1
Mellow Music Group,1
N/A,1
The Troggs,1
Sympathy For The Record Industry,1
Rhino Records,1
Norton Records,1
Dirtnap Records,1
Jamie Record Co.,1
In The Red,1
1991,1
Church Girls,1
Merge Records,1
Greenway Records,1
Old 3c Records,1
Now Again Records,1
Ekipo,1
Soleilmoon Recordings,1
Wicked Ape,1
Cuddly Toy,1
Rhino,1
Capitol Records,1
Castle Face,1
Rhino Atlantic,1
Ato Records,1
Dub Store Records,1
Stiff,1
ADA US,1
Carrot Top Records,1
Wax Nine Records,1
Wichita Recordings,1
Bar/None Records,1
Jullian Records,1
1992,1
RVNG,1
Drag City,1
Vee Jay Records,1
1994,1
Monofonous Press,1
Shimmy 500,1
No Quarter,1
1995,1
Northern Spy,1
88rising Music,1
MateoSound,1
1997,1
Nemuri Winter,1
Monday Records,1
2002,1
Anticon,1
Sony Masterworks,1
Fat Beats Records,1
SXN,1
Phuture Collective,1
Mom an Pop via Future Classic,1
Ninja Tune,1
Night Swim Records,1
Moving Castle Records,1
OWSLA,1
BPitch Control,1
Saved,1
Deeperfect,1
Yoshitoshi,1
Soma,1
Cr2,1
Toolroom,1
2003,1
2006,1
MOOD,1
Knee Deep In Sound,1
Observatory Music,1
Skint,1
Relief,1
Hive Audio,1
Desolat,1
Pushmaster Discs,1
Schmer,1
Suara,1
Loop,1
BEK Audio,1
Bush,1
2009,1
Eureka!,1
Lazy Days,1
GAMM,1
IRMA Italy,1
Moonrise Hill Material,1
Local Talk,1
RazorNTape,1
Eglo Records,1
Z Records,1
Noire & Blanche,1
La Chinerie,1
Technicolour,1
Creme Organization,1
2011,1
Watergate Records,1
Sprinkler,1
Border Community,1
Fire Records,1
