date,time,title,artist,composer,show,url
11/12/2017,20:00:00-22:00:00,Salt Sugar Fire + Authentic Alien Perfume,Taiwan Housing Project,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Lazy in Love,8 Eyed Spy,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Hello My Name Is,Shellshag,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Born Before the Internet,The Low Budgets,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,No Nazi's Friend,The Dicks,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Vampire,The Invasive Species,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Kenosha,Swearin',,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,20:00:00-22:00:00,Play the Game,My Dad Is Dead,,1100ccs of Hate,http://wkdu.org/playlist/47420
11/12/2017,22:00:00-00:00:00,In Majestic Drag,The Skull Defekts,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Actor,Lung,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,"The Horse, He's Sick",Naked on the Vague,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Exodus,Savage Republic,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Hey! Student,The Fall,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Augun úti,Purrkur Pillnikk,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Half Sister,Protomartyr,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,La Cabellera de Berenice,Size,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Someone's Got It In For Me,Lower,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Good Ol' Boys,Institute,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Room 213,Dead Moon,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Paranoia,Pierced Arrows,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Pushing the Extreme,Wipers,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,I Think About It Every Day,Heat Dust,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,The Worm's Quest,Saccharine Trust,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Cellophane,Metz,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Into the Wayside Part 1/Sick,Ceremony,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Don't Have a Life,Hüsker Dü,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Self Destruct,N.O.T.A.,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,I Feel Bad,Pure Hell,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Looking Glass,Kaleidoscope,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Feel the Darkness,Poison Idea,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Climbing the Walls,Neophobe,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Still Puttin' On The Blitz,ISS,,Talk of the Town,http://wkdu.org/playlist/47421
11/12/2017,22:00:00-00:00:00,Rub Me Out,The Cravats,,Talk of the Town,http://wkdu.org/playlist/47421
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,best me,Sylvan LaCue,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,blew skylight,sky blew,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,2 am,SZA,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Kairos Trip,TUT,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,sattelite,secret cirlce,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Action Figure,Criminal Mafia,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Children of the Corn,Children of the Corn,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,The Water,Mick Jenkins,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Party Dawg,Sugg Savage,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,whats the price,zuluzuluu,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Phenomonal (feat. Verbatum Jones),The Bul Bey,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,submission,nah,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,let go of my ego,nmamdi ogbonnaya,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Grape Soda,Healy,,Open air,http://wkdu.org/playlist/47425
11/13/2017,CHECK PROGRAM TIMES - OPEN AIR,Slow Groove,Oddisee,,Open air,http://wkdu.org/playlist/47425
