artist,title,album,label,new,local,show,url
The Skull Defekts,In Majestic Drag,Peer Amid,2011,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Lung,Actor,Bottom of the Barrel,2017,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Naked on the Vague,"The Horse, He's Sick",The Blood Pressure Sessions,2009,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Savage Republic,Exodus,Tragic Figures,1982,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
The Fall,Hey! Student,Middle Class Revolt,1994,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Purrkur Pillnikk,Augun úti,Googooplex,1982,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Protomartyr,Half Sister,Relatives In Descent,2017,✔,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Size,La Cabellera de Berenice,S/T,1991,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Lower,Someone's Got It In For Me,"Someone's Got It In For Me / But There Has To Be More 7""",2012,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Institute,Good Ol' Boys,Subordination,2017,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Dead Moon,Room 213,Strange Pray Tell,1992,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Pierced Arrows,Paranoia,Descending Shadows,2010,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Wipers,Pushing the Extreme,Wipers Live,1985,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Heat Dust,I Think About It Every Day,S/T,2015,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Saccharine Trust,The Worm's Quest,Wordbroken,1985,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Metz,Cellophane,Strange Peace,2017,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Ceremony,Into the Wayside Part 1/Sick,Rohnert Park,2010,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Hüsker Dü,Don't Have a Life,Land Speed Record,1982,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
N.O.T.A.,Self Destruct,None of the Above,1985,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Pure Hell,I Feel Bad,Noise Addiction,2006,,✔,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Kaleidoscope,Looking Glass,Steps Through The Looking Glass,2015,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Poison Idea,Feel the Darkness,Feel the Darkness,1990,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Neophobe,Climbing the Walls,S/T,2017,,✔,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
ISS,Still Puttin' On The Blitz,(Endless Pussyfooting),2017,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
The Cravats,Rub Me Out,Rub Me Out,1982,,,Talk of the Town on Sun 11/12/17,http://wkdu.org/playlist/47421
Taiwan Housing Project,Salt Sugar Fire + Authentic Alien Perfume,Veblen Death Mask,2017,✔,✔,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
8 Eyed Spy,Lazy in Love,S/T,1997,,,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
Shellshag,Hello My Name Is,More Survival Tips from the Bay,2017,,,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
The Low Budgets,Born Before the Internet,Go For Broke,2003,,✔,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
The Dicks,No Nazi's Friend,Dicks 1980-1986,1987,,,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
The Invasive Species,Vampire,S/T,2015,,✔,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
Swearin',Kenosha,S/T,2002,,✔,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
My Dad Is Dead,Play the Game,"For Richer, For Poorer",1995,,,1100ccs of Hate covered by yoni191 on Sun 11/12/17,http://wkdu.org/playlist/47420
Kevin Morby,Baltimore (Sky At Night),b/w Baltimore (County Line) - Single,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Feist,1234,The Reminder,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Superet,Loving the Animal,Superet - EP,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Sufjan Stevens,Mystery of Love,Call Me By Your Name (Original Motion Picture Sountrack),,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Maximo Park,"Get High (No, I Don't)",Risk to Exist (Deluxe),,✔,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Beck,I'm So Free,Colors,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Lo Moon,This Is It,This Is It - Single,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
St. Vincent,Masseduction,Masseduction,,✔,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
The National,Nobody Else Will Be There,Sleep Well Beast,,✔,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Yellow Days,Nothing's Going to Keep Me Down,Nothing's Going to Keep Me Down - Single,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Brian Fallon,Forget Me Not,Forget Me Not - Single,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
The Shins,Simple Song,Port of Morrow,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Jake Bugg,Waiting (ft. Noah Cyrus),Hearts That Strain,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
Feel It All Around,Life of Leisure - EP,Washed Out,,,,Independent Clause on Mon 11/13/17,http://wkdu.org/playlist/47422
The Troggs,Our Love Will Still Be There,EARLY RECORDINGS,The Troggs,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Gun Club,The Breaking Hands,MOTHER JUNO,Sympathy For The Record Industry,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Monkees,You Just May Be The One,THE BEST OF THE MONKEES,Rhino Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
O My Soul,Big Star,NOBODY CAN DANCE,Norton Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Lost Balloons,Pant,HEY SUMMER,Dirtnap Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Barbara Lynn,(I Cried At) Laura's Wedding,THE JAMIE SINGLES COLLECTION 1962-1965,Jamie Record Co.,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Zig Zags,The Fog,ZIG ZAGS,In The Red,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Hothead,Snake Song,"7""",Richie Records,✔,✔,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Church Girls,Better Off,HIDALGO,Church Girls,✔,✔,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Lambchop,Your F*cking Sunny Day,OLD ENOUGH TO KNOW BETTER CD 1,Merge Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Birds,Scatter,EVERYTHING ALL AT ONCE,Greenway Records,✔,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Ego Summit,Illogical,THE ROOM ISN'T BIG ENOUGH,Old 3c Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Witch,Like a Chicken,WITCH: WE INTEND TO CAUSE HAVOC!,Now Again Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Pan & Regaliz,Waiting In the Monsters Garden,PAN & REGALIZ,Ekipo,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Legendary Pink Dots,Blasto,FACES IN THE FIRE,Soleilmoon Recordings,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Pineapples,Surfsonic,"7""",Wicked Ape,✔,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Harry Nilsson,Cuddly Toy,THE ESSENTIAL NILSSON,Cuddly Toy,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Monkees,Cuddly Toy,"PISCES, AQUARIUS, CAPRICORN & JONES LTD.",Rhino,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Dwight Twilley,Looking For The Magic,TWILLEY DON'T MIND,Capitol Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Duds,Irregular Patterns,OF A NATURE OR DEGREE,Castle Face,✔,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Writhing Squares Too,Victory for Womankind,"7""",Richie Records,✔,✔,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Mott the Hoople,Whisky Women,RHINO HI-FIVE: MOTT THE HOOPLE,Rhino Atlantic,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Chicano Batman,Jealousy,FREEDOM IS FREE,Ato Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Willie Lindo,Samba Pati,FAR AND DISTANT,Dub Store Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Wreckless Eric,Excuse Me,BIG SMASH,Stiff,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
JD McPherson,Under The Spell of City Lights,UNDIVIDED HEART & SOUL,ADA US,✔,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Handsome Family,Amelia Earhart vs. The Dancig Bear,MILK AND SCISSORS,Carrot Top Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Melkbelly,Off the Lot,NOTHING VALLEY,Wax Nine Records,✔,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Girlpool,Before The World Was Big,BEFORE THE WORLD WAS BIG,Wichita Recordings,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The dB's,Before We Were Born,FALLING OFF THE SKY,Bar/None Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
Luke Elliott,The Great Rondout Train Robberty,DRESSED FOR THE OCCASION,Jullian Records,,,Gallimaufry on Mon 11/13/17,http://wkdu.org/playlist/47424
The Feelies,Away,Only Life,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Black Tambourine,Heartbeat,Black Tambourine,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Sue Landers,It Hurts Too Much To Laugh,"It Hurts Too Much To Laugh/Lonely Sunday Night 7""",,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Eula Cooper,Let Our Love Grow Higher,Eccentric Soul: The Tragar and Note Labels,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Hospitality,Sleepover,Hospitality,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Suicide,"Diamonds, Fur Coat, Champagne",Suicide,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Algebra Suicide,Heat Wave,The Secret Like Crazy,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Hothead,Snake Song,Summer Single Series 2017,,✔,✔,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Mary Timony,All Dressed Up in Dreams,Wasps' Nests,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Grouper,Disengaged,Dragging A Dead Deer Up a Hill,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Grouper,Heavy Water/I'd Rather Be Sleeping,Dragging a Dead Deer Up a Hill,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Alvvays,In Undertow,Antisocialites,,✔,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Mark Mulcahy,Fathering,Fathering,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Ssupertasterr,Coffin Blood,,request,,✔,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Bully,Feel the Same,Losing,,✔,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Deep Time,Homebody,Deep Time,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
ESG,Like This,A South Bronx Story,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
OMNI,First Degree,Multitask,,✔,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Institute,Immorality,"Salt 7""",,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Marbled Eye,Numb,Marbled Eye,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Dead Moon,Crystal Is Falling,Defiance,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Kevin Coyne and Dagmar Krause,Dead Dying Gone,Babble,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Protex,I Can't Cope,All We Wanna Do Is Rock'n'Roll,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Nature Boys,Scum Like Us,Nature Boys 3 LP,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Vexx,Strength,Vexx,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Glazer,Disaster Footage,On a Prairie Live in the Dirt,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
X,Adult Books,Los Angeles,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Purple 7,Winds of the Weekend,Volume One,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Etta Baker,Going to the Racetrack,One Dime Blues,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Lower Dens,Brains,Brains/Propagation,,,,Dial Error on Mon 11/13/17,http://wkdu.org/playlist/47423
Sylvan LaCue,best me,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
sky blew,blew skylight,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
SZA,2 am,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
TUT,Kairos Trip,Preacher's Son,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
secret cirlce,sattelite,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Criminal Mafia,Action Figure,Memphis Sound,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Children of the Corn,Children of the Corn,Memphis Sound,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Mick Jenkins,The Water,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Sugg Savage,Party Dawg,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
zuluzuluu,whats the price,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
The Bul Bey,Phenomonal (feat. Verbatum Jones),,,,✔,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
nah,submission,,,,✔,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
nmamdi ogbonnaya,let go of my ego,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Healy,Grape Soda,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Oddisee,Slow Groove,Alwasta,Mellow Music Group,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Sudo Williams,Caterpillar Motion,Me You & Them,N/A,✔,✔,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Duece Da God,Still Up,,,,✔,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Fortune West,12 4 12 (feat. Sudo Williams,,,,✔,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Destiny X,Scorpio,,,,,Open air on Mon 11/13/17,http://wkdu.org/playlist/47425
Rockers Hi-Fi,Push Push,,,,,Open air on Tue 11/14/17,http://wkdu.org/playlist/47426
Antisocialites,Plimsoll Punks,Alvvays,,✔,,Open air on Tue 11/14/17,http://wkdu.org/playlist/47426
Sandals,FEET (Dust Bros Mix),FEET PROMO,,,,Open air on Tue 11/14/17,http://wkdu.org/playlist/47426
Fujiya + Miyagi,Serotonin Rushes,Fujiya + Miyagi,,✔,,Open air on Tue 11/14/17,http://wkdu.org/playlist/47426
DJ Dan,Put That Record Back On (Peace Division Remix),Put That Record Back On Remixes,,,,Open air on Tue 11/14/17,http://wkdu.org/playlist/47426
